title,price,image
"HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 8GB, 128GB SSD, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus",29700 Сом,https://enter.kg/computers/noutbuki_bishkek/images/novinka.gif
"HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 8GB, 500GB, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus",29700 Сом,https://enter.kg/computers/noutbuki_bishkek/images/novinka.gif
"Lenovo Ideapad 3 Silver Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 512GB M.2 NVMe PCIe, Intel HD Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus",29700 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_7620.jpg
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 4GB,SSD 120GB, 15.6""FHD RUS, HDMI, BLACK",29700 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_3179_2607.jpg
"HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 1TB + 128GB SSD, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus",29898 Сом,https://enter.kg/computers/noutbuki_bishkek/images/novinka.gif
"HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 8GB, 1TB, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus",29898 Сом,https://enter.kg/computers/noutbuki_bishkek/images/novinka.gif
"Lenovo Ideapad 3 Silver Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 1TB + 256GB M.2 NVMe PCIe, Intel HD Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus",30195 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_3155_2974.jpg
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 4GB, 1TB, 15.6""FHD RUS, HDMI, ABYSS BLUE",30195 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_8270.jpg
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 4GB, 1TB, 15.6""FHD RUS, HDMI, BLACK",30195 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_6025_7227.jpg
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 4GB,SSD 240GB, 15.6""FHD RUS, HDMI, BLACK",30195 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_7870.jpg
"Ноутбук Lenovo IdeaPad 1 14IGL7 Intel Pentium Quad Core N5030 (up to 3.1Ghz), 14"" LED HD, 4GB, 128GB eMMC +1TB m.2 NVMe, WiFi, BT, Cam, Win11En HomeS, Eng-Rus, бесшумный, серебр[82V6001DUS]",30195 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/2_4350.jpg
"HP 240 G8 Black Intel Pentium Quad Core N5030 (up to 3.1Ghz), 4GB, 256GB SSD, Intel HD Graphics, 14"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus",30294 Сом,https://enter.kg/computers/noutbuki_bishkek/images/novinka.gif
"Lenovo V15 i3-10110U 2.1-4.1 GHz,8GB,500GB,15.6""HD,RUS,DOS HDMI, IRON GRAY",30294 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_1065_6239.jpg
"Lenovo V15 i3-10110U 2.1-4.1 GHz,8GB,SSD 120GB,15.6""HD,RUS,DOS HDMI, IRON GRAY",30294 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/2_4862.jpg
"HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 500GB + 256GB SSD, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus",30690 Сом,https://enter.kg/computers/noutbuki_bishkek/images/novinka.gif
"HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 8GB, 256GB SSD, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus",30690 Сом,https://enter.kg/computers/noutbuki_bishkek/images/novinka.gif
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 8GB, 500GB, 15.6""FHD RUS, HDMI, BLACK",30690 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_4434_5759.jpg
"Ноутбук Gateway ULTRA SLIM i3-1115G4 (up to 4.1Ghz), 4GB, 128GB SSD M.2 NVMe +256GB SSD M.2 NVMe, HD Graphics 620, 15.6"" FULL HD LED, WiFi, BT, Cam, Win11, чехол и мышь в комплекте, серый [GWNC31514-BK]",30690 Сом,https://enter.kg/computers/noutbuki_bishkek/images/novinka.gif
"Lenovo V15 i3-10110U 2.1-4.1 GHz,8GB,1TB,15.6""HD,RUS,DOS HDMI, IRON GRAY",30789 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_5251_3223.jpg
"Lenovo V15 i3-10110U 2.1-4.1 GHz,8GB,SSD 240GB,15.6""HD,RUS,DOS HDMI, IRON GRAY",30789 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/2_6153.jpg
"HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 1TB + 256GB SSD, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus",30888 Сом,https://enter.kg/computers/noutbuki_bishkek/images/novinka.gif
"Lenovo V15 i3-10110U 2.1-4.1 GHz,4GB,SSD 480GB,15.6""HD,RUS,DOS HDMI, IRON GRAY",30888 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_5288_3872.jpg
"Acer Aspire 3 A315 i3-1005G1 1.2-3.4GHz,4GB, SSD 256GB, 15.6""FHD,LAN,BLACK",31086 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/2_2494.jpg
"Acer Aspire A315-34 Black Intel N4020 (up to 2.8Ghz), 4GB, 128GB M.2 NVMe PCIe, Intel HD Graphics, 15.6"" LED FULL HD (1920x1080), WiFi, LAN RJ45, BT, Cam, DOS, Eng-Rus",31185 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_6417_3457.jpg
"Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 4GB, 500GB, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus",31185 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1) l340 15 платин_7718.jpg
"Ноутбук Gateway ULTRA SLIM i3-1115G4 (up to 4.1Ghz), 4GB, 500GB SSD M.2 NVMe, HD Graphics 620, 15.6"" FULL HD LED, WiFi, BT, Cam, Win11, чехол и мышь в комплекте, серый [GWNC31514-BK]",31185 Сом,https://enter.kg/computers/noutbuki_bishkek/images/novinka.gif
"HP 240 G8 Black Intel Pentium Quad Core N5030 (up to 3.1Ghz), 4GB, 500GB + 128GB SSD, Intel HD Graphics, 14"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus",31284 Сом,https://enter.kg/computers/noutbuki_bishkek/images/novinka.gif
"HP 240 G8 Black Intel Pentium Quad Core N5030 (up to 3.1Ghz), 8GB, 128GB SSD, Intel HD Graphics, 14"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus",31284 Сом,https://enter.kg/computers/noutbuki_bishkek/images/novinka.gif
"HP 240 G8 Black Intel Pentium Quad Core N5030 (up to 3.1Ghz), 8GB, 500GB, Intel HD Graphics, 14"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus",31284 Сом,https://enter.kg/computers/noutbuki_bishkek/images/novinka.gif
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 8GB, 1TB, 15.6""FHD RUS, HDMI, BLACK",31383 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_7803.jpg
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 8GB,SSD 240GB, 15.6""FHD RUS, HDMI, BLACK",31383 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_8218_5894.jpg
"HP 240 G8 Black Intel Pentium Quad Core N5030 (up to 3.1Ghz), 4GB, 1TB + 128GB SSD, Intel HD Graphics, 14"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus",31482 Сом,https://enter.kg/computers/noutbuki_bishkek/images/novinka.gif
"HP 240 G8 Black Intel Pentium Quad Core N5030 (up to 3.1Ghz), 8GB, 1TB, Intel HD Graphics, 14"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus",31482 Сом,https://enter.kg/computers/noutbuki_bishkek/images/novinka.gif
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 4GB,SSD 480GB, 15.6""FHD RUS, HDMI, BLACK",31482 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_4022_3030.jpg
"Acer Aspire A315-34 Black Intel N4020 (up to 2.8Ghz), 4GB, 256GB M.2 NVMe PCIe, Intel HD Graphics, 15.6"" LED FULL HD (1920x1080), WiFi, LAN RJ45, BT, Cam, DOS, Eng-Rus",31680 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_3421_5321.jpg
